Doc_ID,Sentence_ID,Country,Year,Document_Name,entity_name,ner_label,qh_category,qh_sub_category,qh_exact_category
1,339,CAN,2022,Canada's National Quantum Strategy,S&T Strategy,ORG,,,
1,340,CAN,2022,Canada's National Quantum Strategy,Government of Canada,ORG,,,
1,342,CAN,2022,Canada's National Quantum Strategy,NQS,ORG,,,
1,342,CAN,2022,Canada's National Quantum Strategy,Government of Canada,ORG,,,
1,344,CAN,2022,Canada's National Quantum Strategy,NQS,ORG,,,
1,344,CAN,2022,Canada's National Quantum Strategy,Quantum Advisory Council,ORG,,,
1,345,CAN,2022,Canada's National Quantum Strategy,Council,ORG,,,
1,346,CAN,2022,Canada's National Quantum Strategy,Quantum Industry Canada,ORG,,,
1,346,CAN,2022,Canada's National Quantum Strategy,Council,ORG,,,
1,347,CAN,2022,Canada's National Quantum Strategy,NQS,ORG,,,
1,349,CAN,2022,Canada's National Quantum Strategy,Government of Canada,ORG,,,
1,350,CAN,2022,Canada's National Quantum Strategy,NQS,ORG,,,
1,351,CAN,2022,Canada's National Quantum Strategy,Quantum Committee,ORG,,,
1,352,CAN,2022,Canada's National Quantum Strategy,NQS Secretariat,ORG,,,
1,353,CAN,2022,Canada's National Quantum Strategy,NQS Secretariat,ORG,,,
1,354,CAN,2022,Canada's National Quantum Strategy,NQS,ORG,,,
1,355,CAN,2022,Canada's National Quantum Strategy,Sherbrooke Quantum Innovation Zone,ORG,,,
1,355,CAN,2022,Canada's National Quantum Strategy,Government of Quebec,ORG,,,
1,356,CAN,2022,Canada's National Quantum Strategy,Institut Quantique,ORG,,,
1,356,CAN,2022,Canada's National Quantum Strategy,IBM Quantum Hub,ORG,,,
1,356,CAN,2022,Canada's National Quantum Strategy,IBM,ORG,,,
1,356,CAN,2022,Canada's National Quantum Strategy,Anyon Systems,ORG,,,
1,356,CAN,2022,Canada's National Quantum Strategy,IBM Q System One,ORG,,,
1,358,CAN,2022,Canada's National Quantum Strategy,Government of Ontario,ORG,,,
1,358,CAN,2022,Canada's National Quantum Strategy,Perimeter Institute for Theoretical Physics,ORG,,,
1,359,CAN,2022,Canada's National Quantum Strategy,Institute for Quantum Computing,ORG,,,
1,360,CAN,2022,Canada's National Quantum Strategy,Government of Alberta,ORG,,,
1,361,CAN,2022,Canada's National Quantum Strategy,Alberta Technology and Innovation Strategy,ORG,,,
1,362,CAN,2022,Canada's National Quantum Strategy,University of Alberta,ORG,,,
1,362,CAN,2022,Canada's National Quantum Strategy,University of Lethbridge,ORG,,,
1,362,CAN,2022,Canada's National Quantum Strategy,University of Calgary,ORG,,,
1,363,CAN,2022,Canada's National Quantum Strategy,Government of British Columbia,ORG,,,
1,363,CAN,2022,Canada's National Quantum Strategy,Quantum Algorithms Institute,ORG,,,
1,364,CAN,2022,Canada's National Quantum Strategy,NQS,ORG,,,
1,364,CAN,2022,Canada's National Quantum Strategy,Government of Canada,ORG,,,
1,365,CAN,2022,Canada's National Quantum Strategy,NQS,ORG,,,
1,369,CAN,2022,Canada's National Quantum Strategy,Canadian Institute for Advanced Research  CIFAR,ORG,,,
1,377,CAN,2022,Canada's National Quantum Strategy,Government of Canada,ORG,,,
1,378,CAN,2022,Canada's National Quantum Strategy,Quantum Technologies Competition,ORG,,,
1,378,CAN,2022,Canada's National Quantum Strategy,NSERC-UK Research and Innovation,ORG,,,
1,378,CAN,2022,Canada's National Quantum Strategy,UKRI,ORG,,,
1,379,CAN,2022,Canada's National Quantum Strategy,NSERC,ORG,,,
1,379,CAN,2022,Canada's National Quantum Strategy,U.S. National Science Foundation,ORG,,,
1,380,CAN,2022,Canada's National Quantum Strategy,NSERC,ORG,,,
