Paragraph_ID,Doc_ID,Country,Year,Document_Name,entity_name,ner_label,qh_category,qh_sub_category,qh_exact_category
137,1,CAN,2022,Canada's National Quantum Strategy,Canadian Coast Guard,ORG,,,
137,1,CAN,2022,Canada's National Quantum Strategy,Canada Trade Commissioner Service – Global Affairs Canada,ORG,,,
137,1,CAN,2022,Canada's National Quantum Strategy,Trade Commissioner Service,ORG,,,
137,1,CAN,2022,Canada's National Quantum Strategy,RegionalBusiness Network,ORG,,,
142,1,CAN,2022,Canada's National Quantum Strategy,Space Technology Development Program,ORG,,,
142,1,CAN,2022,Canada's National Quantum Strategy,STDP,ORG,,,
142,1,CAN,2022,Canada's National Quantum Strategy,CSA,ORG,,,
143,1,CAN,2022,Canada's National Quantum Strategy,"Innovation, Science and Economic Development Canada",ORG,,,
147,1,CAN,2022,Canada's National Quantum Strategy,Deep Tech Venture Fund – Business Development Bank of Canada,ORG,,,
1,2,GER,2023,Quantum Technologies Conceptual Framework Programme,Federal Government Nonlinear,ORG,,,
2,2,GER,2023,Quantum Technologies Conceptual Framework Programme,WMI,ORG,,,
2,2,GER,2023,Quantum Technologies Conceptual Framework Programme,Janine Gückelhorn,PER,,,
2,2,GER,2023,Quantum Technologies Conceptual Framework Programme,Federal Government,ORG,,,
9,2,GER,2023,Quantum Technologies Conceptual Framework Programme,EU,ORG,,,
11,2,GER,2023,Quantum Technologies Conceptual Framework Programme,BMBF,ORG,,,
11,2,GER,2023,Quantum Technologies Conceptual Framework Programme,BMF,ORG,,,
11,2,GER,2023,Quantum Technologies Conceptual Framework Programme,BMI,ORG,,,
11,2,GER,2023,Quantum Technologies Conceptual Framework Programme,BMWK,ORG,,,
26,2,GER,2023,Quantum Technologies Conceptual Framework Programme,Federal Government’s ‘Future Strategy for Research and Innovation’,ORG,,,
28,2,GER,2023,Quantum Technologies Conceptual Framework Programme,Google,ORG,,,
28,2,GER,2023,Quantum Technologies Conceptual Framework Programme,IBM,ORG,,,
28,2,GER,2023,Quantum Technologies Conceptual Framework Programme,USA,ORG,,,
28,2,GER,2023,Quantum Technologies Conceptual Framework Programme,NIST,ORG,,,
28,2,GER,2023,Quantum Technologies Conceptual Framework Programme,NASA,ORG,,,
28,2,GER,2023,Quantum Technologies Conceptual Framework Programme,DARPA,ORG,,,
28,2,GER,2023,Quantum Technologies Conceptual Framework Programme,European Union,ORG,,,
28,2,GER,2023,Quantum Technologies Conceptual Framework Programme,Federal Government’s Future Package,ORG,,,
54,2,GER,2023,Quantum Technologies Conceptual Framework Programme,Expert Commission on Research and Innovation17,ORG,,,
60,2,GER,2023,Quantum Technologies Conceptual Framework Programme,German Aerospace Centre,ORG,,,
60,2,GER,2023,Quantum Technologies Conceptual Framework Programme,DLR,ORG,,,
61,2,GER,2023,Quantum Technologies Conceptual Framework Programme,DeepTech & Climate Fonds,ORG,,,
61,2,GER,2023,Quantum Technologies Conceptual Framework Programme,DTCF,ORG,,,
61,2,GER,2023,Quantum Technologies Conceptual Framework Programme,HTGF,ORG,,,
61,2,GER,2023,Quantum Technologies Conceptual Framework Programme,theDTCF,ORG,,,
68,2,GER,2023,Quantum Technologies Conceptual Framework Programme,FederalGovernment,ORG,,,
71,2,GER,2023,Quantum Technologies Conceptual Framework Programme,European Earth,ORG,,,
73,2,GER,2023,Quantum Technologies Conceptual Framework Programme,Bundeswehr,ORG,,,
73,2,GER,2023,Quantum Technologies Conceptual Framework Programme,Federal Armed Forces,ORG,,,
86,2,GER,2023,Quantum Technologies Conceptual Framework Programme,CEN-CENELEC Quantum Technology Focus Group,ORG,,,
86,2,GER,2023,Quantum Technologies Conceptual Framework Programme,CEN-CENELEC,ORG,,,
86,2,GER,2023,Quantum Technologies Conceptual Framework Programme,DIN,ORG,,,
88,2,GER,2023,Quantum Technologies Conceptual Framework Programme,Q.ANT,ORG,,,
96,2,GER,2023,Quantum Technologies Conceptual Framework Programme,"Federal Government,quantum",ORG,,,
96,2,GER,2023,Quantum Technologies Conceptual Framework Programme,Gauss Centre for Supercomputing,ORG,,,
102,2,GER,2023,Quantum Technologies Conceptual Framework Programme,High-Tech Gründerfonds,ORG,,,
102,2,GER,2023,Quantum Technologies Conceptual Framework Programme,Federal Agency for Disruptive Innovation SPRIN-D,ORG,,,
108,2,GER,2023,Quantum Technologies Conceptual Framework Programme,Federal Government The Federal Government,ORG,,,
109,2,GER,2023,Quantum Technologies Conceptual Framework Programme,Max Planck Institute of Quantum Optics,ORG,,,
110,2,GER,2023,Quantum Technologies Conceptual Framework Programme,Horizon Europe,ORG,,,
110,2,GER,2023,Quantum Technologies Conceptual Framework Programme,Digital Europe,ORG,,,
110,2,GER,2023,Quantum Technologies Conceptual Framework Programme,QuantERA,ORG,,,
110,2,GER,2023,Quantum Technologies Conceptual Framework Programme,EU Commission,ORG,,,
110,2,GER,2023,Quantum Technologies Conceptual Framework Programme,ESA,ORG,,,
110,2,GER,2023,Quantum Technologies Conceptual Framework Programme,EuroQCI,ORG,,,
134,2,GER,2023,Quantum Technologies Conceptual Framework Programme,Annex,ORG,,,
135,2,GER,2023,Quantum Technologies Conceptual Framework Programme,Federal Government68 The Future Strategy for Research and Innovation,ORG,,,
136,2,GER,2023,Quantum Technologies Conceptual Framework Programme,Cyber Security Strategy,ORG,,,
136,2,GER,2023,Quantum Technologies Conceptual Framework Programme,Cyber Security Strategy for Germany,ORG,,,
136,2,GER,2023,Quantum Technologies Conceptual Framework Programme,Federal States,ORG,,,
136,2,GER,2023,Quantum Technologies Conceptual Framework Programme,European Cybersecurity Strategy,ORG,,,
136,2,GER,2023,Quantum Technologies Conceptual Framework Programme,Cybersecurity Strategy for Germany,ORG,,,
136,2,GER,2023,Quantum Technologies Conceptual Framework Programme,Space Agency,ORG,,,
136,2,GER,2023,Quantum Technologies Conceptual Framework Programme,National Programme for Space and Innovation,ORG,,,
136,2,GER,2023,Quantum Technologies Conceptual Framework Programme,Ecosystem for Quantum assisted Artificial Intelligence,ORG,,,
136,2,GER,2023,Quantum Technologies Conceptual Framework Programme,Agentur für Innovation in der Cybersicherheit GmbH,ORG,,,
136,2,GER,2023,Quantum Technologies Conceptual Framework Programme,Bundesamt für Sicherheit in der Informationstechnik,ORG,,,
136,2,GER,2023,Quantum Technologies Conceptual Framework Programme,Federal Office for Information  Security,ORG,,,
136,2,GER,2023,Quantum Technologies Conceptual Framework Programme,BSI,ORG,,,
136,2,GER,2023,Quantum Technologies Conceptual Framework Programme,ISO,ORG,,,
136,2,GER,2023,Quantum Technologies Conceptual Framework Programme,IEC,ORG,,,
136,2,GER,2023,Quantum Technologies Conceptual Framework Programme,NISQ,ORG,,,
136,2,GER,2023,Quantum Technologies Conceptual Framework Programme,Thunderbird,ORG,,,
136,2,GER,2023,Quantum Technologies Conceptual Framework Programme,OpenPGP,ORG,,,
136,2,GER,2023,Quantum Technologies Conceptual Framework Programme,Internet Engineering Task Force,ORG,,,
136,2,GER,2023,Quantum Technologies Conceptual Framework Programme,IETF,ORG,,,
136,2,GER,2023,Quantum Technologies Conceptual Framework Programme,European Telecommunications Standards Institute,ORG,,,
136,2,GER,2023,Quantum Technologies Conceptual Framework Programme,ETSI,ORG,,,
136,2,GER,2023,Quantum Technologies Conceptual Framework Programme,Physikalisch-Technische Bundesanstalt,ORG,,,
136,2,GER,2023,Quantum Technologies Conceptual Framework Programme,National Metrology Institute of Germany,ORG,,,
136,2,GER,2023,Quantum Technologies Conceptual Framework Programme,PTB,ORG,,,
136,2,GER,2023,Quantum Technologies Conceptual Framework Programme,Schirmprojekt Quantenkommunikation Deutschland,ORG,,,
136,2,GER,2023,Quantum Technologies Conceptual Framework Programme,Quantum Communication Germany,ORG,,,
136,2,GER,2023,Quantum Technologies Conceptual Framework Programme,Bundesdruckerei GmbH Bundesdruckerei GmbH,ORG,,,
136,2,GER,2023,Quantum Technologies Conceptual Framework Programme,Maurer Electronics GmbH,ORG,,,
136,2,GER,2023,Quantum Technologies Conceptual Framework Programme,Bundesdruckerei Group,ORG,,,
136,2,GER,2023,Quantum Technologies Conceptual Framework Programme,Bundesdruckerei GmbH,ORG,,,
136,2,GER,2023,Quantum Technologies Conceptual Framework Programme,Bundesdruckerei,ORG,,,
136,2,GER,2023,Quantum Technologies Conceptual Framework Programme,Federal Administration,ORG,,,
136,2,GER,2023,Quantum Technologies Conceptual Framework Programme,Federal Ministry of Finance,ORG,,,
